id,severity,category,ruleName,ruleId,column,count,affectedPercentage,description,sampleValues
integrity-null-full_name,warning,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,full_name,3,6.00,"Advertencia: Faltan datos.",""
hygiene-ghost-full_name,info,Higiene de Texto,Espacios Fantasma (Trim),rule:trim-whitespace,full_name,2,4.00,"Textos con espacios invisibles al inicio/final.","   Tomas Varela Sintetico  ,   N/A   "
hygiene-toxic-full_name,warning,Higiene de Texto,Placeholders Tóxicos,rule:toxic-placeholders,full_name,1,2.00,"Valores como ""n/a"", ""null"" o ""999"" detectados.","   N/A   "
semantic-long-tail-full_name,info,Semántica y Seguridad,Cola Larga Categórica,rule:long-tail-categorical,full_name,47,94.00,"La columna tiene alta dispersión de categorías y baja concentración en los valores principales. Puede necesitar agrupación o macro-categorías antes del análisis.","Carlos Fuentes Sintetico,Mariana Vega Sintetica,Laura Diaz Sintetica,Jorge Rivas Sintetico,Ana Morales Sintetica"
hygiene-space-full_name,info,Higiene de Texto,Espacios Múltiples,rule:double-spaces,full_name,2,4.00,"Cadenas con dobles espacios internos detectados.","   Tomas Varela Sintetico  ,   N/A   "
hygiene-symbol-full_name,warning,Higiene de Texto,Símbolos Sospechosos,rule:suspicious-symbols,full_name,1,2.00,"Caracteres especiales detectados en columnas de ID o Nombres.","   N/A   "
integrity-null-email,warning,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,email,4,8.00,"Advertencia: Faltan datos.",""
hygiene-toxic-email,warning,Higiene de Texto,Placeholders Tóxicos,rule:toxic-placeholders,email,2,4.00,"Valores como ""n/a"", ""null"" o ""999"" detectados.","N/A,N/A"
logic-email-email,critical,Validez y Lógica de Negocio,Formato Email Inválido,rule:invalid-email,email,3,6.00,"Cadenas sin estructura de correo.","correo-invalido,NOT-AN-EMAIL,Carlos Fuentes Sintetico"
integrity-null-phone,warning,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,phone,3,6.00,"Advertencia: Faltan datos.",""
hygiene-ghost-phone,info,Higiene de Texto,Espacios Fantasma (Trim),rule:trim-whitespace,phone,1,2.00,"Textos con espacios invisibles al inicio/final.","  +56-9-1111-0004  "
hygiene-toxic-phone,warning,Higiene de Texto,Placeholders Tóxicos,rule:toxic-placeholders,phone,1,2.00,"Valores como ""n/a"", ""null"" o ""999"" detectados.","UNKNOWN"
hygiene-space-phone,info,Higiene de Texto,Espacios Múltiples,rule:double-spaces,phone,1,2.00,"Cadenas con dobles espacios internos detectados.","  +56-9-1111-0004  "
integrity-null-city,warning,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,city,5,10.00,"Advertencia: Faltan datos.",""
hygiene-ghost-city,info,Higiene de Texto,Espacios Fantasma (Trim),rule:trim-whitespace,city,2,4.00,"Textos con espacios invisibles al inicio/final.","  Santiago  ,  la serena  "
hygiene-case-city,info,Higiene de Texto,Caos de Capitalización,rule:capitalization-chaos,city,3,6.00,"Mismos valores escritos con distintas mayúsculas en una misma columna categórica.","arica: Arica | ARICA"
semantic-long-tail-city,info,Semántica y Seguridad,Cola Larga Categórica,rule:long-tail-categorical,city,30,60.00,"La columna tiene alta dispersión de categorías y baja concentración en los valores principales. Puede necesitar agrupación o macro-categorías antes del análisis.","Santiago,Valparaiso,Concepcion,Antofagasta,Temuco"
hygiene-space-city,info,Higiene de Texto,Espacios Múltiples,rule:double-spaces,city,2,4.00,"Cadenas con dobles espacios internos detectados.","  Santiago  ,  la serena  "
integrity-null-country,warning,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,country,3,6.00,"Advertencia: Faltan datos.",""
integrity-null-plan_type,warning,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,plan_type,3,6.00,"Advertencia: Faltan datos.",""
hygiene-case-plan_type,info,Higiene de Texto,Caos de Capitalización,rule:capitalization-chaos,plan_type,40,80.00,"Mismos valores escritos con distintas mayúsculas en una misma columna categórica.","basic: BASIC | basic,premium: PREMIUM | premium"
logic-neg-credits_used,critical,Validez y Lógica de Negocio,Negativos Imposibles,rule:impossible-negatives,credits_used,1,2.00,"Valores negativos en campo lógico (Edad, Precio).","-50"
logic-outlier-credits_used,warning,Validez y Lógica de Negocio,Outliers Extremos (IQR 3×),rule:extreme-outliers,credits_used,4,8.00,"Valores desviados > 3× del rango intercuartílico.","12000,8500,14000"
logic-outlier-total_credits,warning,Validez y Lógica de Negocio,Outliers Extremos (IQR 3×),rule:extreme-outliers,total_credits,4,8.00,"Valores desviados > 3× del rango intercuartílico.","12000,9000,15000"
logic-outlier-tukey-total_credits,info,Validez y Lógica de Negocio,Outliers Leves (Tukey 1.5×),rule:mild-outliers,total_credits,1,2.00,"Valores desviados entre 1.5× y 3× del rango intercuartílico (mild Tukey outliers).",""
integrity-null-company,critical,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,company,22,44.00,"Crítico: 44.0% de datos faltantes.",""
integrity-mixed-company,critical,Integridad y Estructura,Tipos Mixtos (Dirty Object),rule:mixed-types,company,50,100.00,"Columna contiene mezcla de números y texto.","400,SolucionesDelta"
integrity-null-tax_id,critical,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,tax_id,16,32.00,"Crítico: 32.0% de datos faltantes.",""
integrity-null-notes,critical,Integridad y Estructura,Valores Nulos / Vacíos,rule:null-values,notes,18,36.00,"Crítico: 36.0% de datos faltantes.",""
